Timestamp(ms),Current(uA),D0-D7
6710,19218.695,00000000
6720,19237.879,00000000
6730,19227.459,00000000
6740,19226.697,00000000
6750,19227.559,00000000
6760,19218.436,00000000
6770,19217.748,00000000
6780,19234.742,00000000
6790,19225.594,00000000
6800,19229.965,00000000
6810,19221.090,00000000
6820,19236.170,00000000
6830,19232.979,00000000
6840,19230.377,00000000
6850,19235.572,00000000
6860,19239.449,00000000
6870,19235.525,00000000
6880,19231.313,00000000
6890,19236.365,00000000
6900,19224.828,00000000
6910,19243.701,00000000
6920,19234.621,00000000
6930,19235.461,00000000
6940,19231.434,00000000
6950,19227.352,00000000
6960,19236.307,00000000
6970,19234.539,00000000
6980,19229.391,00000000
6990,19241.264,00000000
7000,19242.523,00000000
7010,19248.242,00000000
7020,19221.039,00000000
7030,19227.594,00000000
7040,19213.154,00000000
7050,19222.938,00000000
7060,19209.480,00000000
7070,19219.592,00000000
7080,19235.723,00000000
7090,19223.584,00000000
7100,19226.064,00000000
7110,19210.822,00000000
7120,19217.713,00000000
7130,19233.336,00000000
7140,19230.752,00000000
7150,19231.826,00000000
7160,19231.838,00000000
7170,19232.277,00000000
7180,19226.381,00000000
7190,19224.439,00000000
7200,19230.902,00000000
7210,19223.035,00000000
7220,19232.373,00000000
7230,19217.658,00000000
7240,19211.412,00000000
7250,19212.660,00000000
7260,19225.811,00000000
7270,19223.029,00000000
7280,19218.568,00000000
7290,19219.787,00000000
7300,19212.299,00000000
7310,19218.930,00000000
7320,19225.484,00000000
7330,19215.586,00000000
7340,19214.021,00000000
7350,19216.695,00000000
7360,19213.191,00000000
7370,19210.826,00000000
7380,19220.652,00000000
7390,19217.932,00000000
7400,19193.885,00000000
7410,19202.953,00000000
7420,19222.779,00000000
7430,19211.412,00000000
7440,19212.047,00000000
7450,19232.934,00000000
7460,19227.410,00000000
7470,19231.553,00000000
7480,19228.947,00000000
7490,19230.092,00000000
7500,19243.529,00000000
7510,19241.053,00000000
7520,19248.287,00000000
7530,19231.998,00000000
7540,19236.170,00000000
7550,19238.988,00000000
7560,19234.488,00000000
7570,19220.127,00000000
7580,19232.438,00000000
7590,19221.279,00000000
7600,19234.646,00000000
7610,19217.150,00000000
7620,19220.809,00000000
7630,19225.814,00000000
7640,19223.266,00000000
7650,19220.986,00000000
7660,19216.225,00000000
7670,19226.521,00000000
7680,19218.537,00000000
7690,19229.037,00000000
7700,19222.867,00000000
7710,19230.475,00000000
7720,19234.715,00000000
7730,19224.373,00000000
7740,19220.816,00000000
7750,19232.676,00000000
7760,19237.088,00000000
7770,19241.557,00000000
7780,19231.340,00000000
7790,19216.129,00000000
7800,19224.313,00000000
7810,19235.678,00000000
7820,19232.574,00000000
7830,19238.020,00000000
7840,19235.340,00000000
7850,19228.637,00000000
7860,19232.656,00000000
7870,19235.574,00000000
7880,19229.764,00000000
7890,19231.748,00000000
7900,19243.691,00000000
7910,19237.822,00000000
7920,19237.131,00000000
7930,19230.855,00000000
7940,19228.920,00000000
7950,19235.061,00000000
7960,19241.523,00000000
7970,19234.168,00000000
7980,19232.945,00000000
7990,19234.850,00000000
8000,19237.936,00000000
8010,19249.947,00000000
